,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
